agent_type,episode,cumulative_reward,demand_mean,demand_std,timestamp,disruption_start,disruption_duration
ewa_pd90_pf1,4001,7.689306026725256,4.17,1.9029188106695463,2025-07-30T02:34:50.359599,64,1
ewa_pd90_pf1,4002,8.29562016828366,3.92,1.8258148865643529,2025-07-30T02:34:51.346589,39,3
ewa_pd90_pf1,4003,5.706950797152227,3.88,1.9711925324533877,2025-07-30T02:34:52.333543,71,2
ewa_pd90_pf1,4004,6.201146935682483,4.04,1.8434749794884662,2025-07-30T02:34:53.314681,58,3
ewa_pd90_pf1,4005,7.12346355217468,4.03,1.8300546439929055,2025-07-30T02:34:54.296661,35,2
ewa_pd90_pf1,4006,6.466390862100206,3.88,1.716275036233995,2025-07-30T02:34:55.281719,18,2
ewa_pd90_pf1,4007,6.58278876219835,3.77,1.9741073932286461,2025-07-30T02:34:56.266031,15,3
ewa_pd90_pf1,4008,6.675992594761084,4.05,1.7168284713389395,2025-07-30T02:34:57.261475,43,3
ewa_pd90_pf1,4009,7.242435976896888,4.24,1.789525076661403,2025-07-30T02:34:58.248099,35,2
ewa_pd90_pf1,4010,6.922349672688283,3.67,1.5751507864328418,2025-07-30T02:34:59.245760,39,2
ewa_pd90_pf1,4011,6.684819364098091,3.9,1.8788294228055937,2025-07-30T02:35:00.227664,60,2
ewa_pd90_pf1,4012,6.7930331427033845,4.07,1.806958770974036,2025-07-30T02:35:01.210591,20,2
ewa_pd90_pf1,4013,7.539326726196182,4.09,1.8226080214900846,2025-07-30T02:35:02.200321,59,1
ewa_pd90_pf1,4014,6.878778409948801,4.28,2.088444397153058,2025-07-30T02:35:03.187484,13,1
ewa_pd90_pf1,4015,7.624854752406174,4.29,1.722178852500518,2025-07-30T02:35:04.290155,36,1
ewa_pd90_pf1,4016,6.415161510661842,3.75,1.856744462762714,2025-07-30T02:35:05.293547,49,3
ewa_pd90_pf1,4017,8.365934337134256,4.07,1.9300518127760196,2025-07-30T02:35:06.276929,67,1
ewa_pd90_pf1,4018,6.209420834852967,4.17,1.6556267695347286,2025-07-30T02:35:07.219409,44,2
ewa_pd90_pf1,4019,7.003341882577517,4.07,1.8069587709740365,2025-07-30T02:35:08.192592,70,3
ewa_pd90_pf1,4020,7.457369897306643,4.18,1.8675117134840147,2025-07-30T02:35:09.196911,54,3
ewa_pd90_pf1,4021,6.620651832239309,4.25,1.8781639970992947,2025-07-30T02:35:10.167784,43,2
ewa_pd90_pf1,4022,7.333008916399585,4.45,1.8459414941974734,2025-07-30T02:35:11.141293,76,2
ewa_pd90_pf1,4023,6.554780924982065,3.81,1.8476742137076,2025-07-30T02:35:12.125092,57,2
ewa_pd90_pf1,4024,7.842479008604737,3.97,1.8517829246431665,2025-07-30T02:35:13.110009,29,3
ewa_pd90_pf1,4025,7.046929396015369,4.26,1.7528262891684392,2025-07-30T02:35:14.078982,59,2
ewa_pd90_pf1,4026,7.482785567258705,4.01,1.6822306619485925,2025-07-30T02:35:15.061384,11,3
ewa_pd90_pf1,4027,6.93804530905459,4.26,1.8254862365956093,2025-07-30T02:35:16.043725,20,3
ewa_pd90_pf1,4028,6.837070530288811,4.13,1.8743265457224896,2025-07-30T02:35:17.035250,75,2
ewa_pd90_pf1,4029,5.871281636267134,4.4,2.0736441353327724,2025-07-30T02:35:18.019973,36,1
ewa_pd90_pf1,4030,6.848415602986409,3.98,1.630828010551695,2025-07-30T02:35:19.005696,53,3
ewa_pd90_pf1,4031,6.622902358318145,4.01,1.9261100695443132,2025-07-30T02:35:19.985138,53,1
ewa_pd90_pf1,4032,6.2885011476238155,3.96,1.9794948850653795,2025-07-30T02:35:20.965770,71,3
ewa_pd90_pf1,4033,8.161118693577302,4.2,1.8384776310850235,2025-07-30T02:35:21.941939,25,3
ewa_pd90_pf1,4034,7.089404705797234,4.15,1.570827807240501,2025-07-30T02:35:22.928087,47,1
ewa_pd90_pf1,4035,6.5774584411963515,4.2,1.8439088914585775,2025-07-30T02:35:23.914574,26,2
ewa_pd90_pf1,4036,7.2215853394152,4.39,1.8756065685532242,2025-07-30T02:35:24.902788,75,1
ewa_pd90_pf1,4037,6.279305182279849,3.99,1.819313057172954,2025-07-30T02:35:25.891322,45,2
ewa_pd90_pf1,4038,6.3419822712977,4.01,1.9518965136502497,2025-07-30T02:35:26.874437,10,3
ewa_pd90_pf1,4039,4.883669899953889,3.97,1.8025260053602554,2025-07-30T02:35:27.850833,67,3
ewa_pd90_pf1,4040,6.532847892985299,4.03,1.7913961036018808,2025-07-30T02:35:28.826688,38,3
ewa_pd90_pf1,4041,8.957259751036434,4.51,1.835728738130991,2025-07-30T02:35:29.818548,68,3
ewa_pd90_pf1,4042,7.252950974044057,4.2,1.7606816861659007,2025-07-30T02:35:30.810420,20,2
ewa_pd90_pf1,4043,7.062798014143905,4.27,1.9791664912280622,2025-07-30T02:35:31.810080,12,3
ewa_pd90_pf1,4044,7.227646104470179,4.15,1.7514279888136994,2025-07-30T02:35:32.806752,29,3
ewa_pd90_pf1,4045,6.656142092331339,4.04,1.6487571076419956,2025-07-30T02:35:33.803295,36,2
ewa_pd90_pf1,4046,6.8676575520802885,4.1,1.786057109949175,2025-07-30T02:35:34.787572,62,2
ewa_pd90_pf1,4047,5.361497956104674,4.08,1.7244129435839894,2025-07-30T02:35:35.770565,21,3
ewa_pd90_pf1,4048,6.479212614853134,3.8,1.9183326093250879,2025-07-30T02:35:36.766655,37,1
ewa_pd90_pf1,4049,5.918511124656638,3.89,1.8215103623092566,2025-07-30T02:35:37.767924,48,1
ewa_pd90_pf1,4050,7.1025496547078255,3.78,1.8361917111238688,2025-07-30T02:35:38.760651,62,2
ewa_pd90_pf1,4051,6.8928002025153265,4.2,1.6431676725154984,2025-07-30T02:35:39.763691,13,1
ewa_pd90_pf1,4052,7.059720173995499,4.02,1.7434448657758006,2025-07-30T02:35:40.740116,59,1
ewa_pd90_pf1,4053,7.7211039597011535,3.92,1.836736235827017,2025-07-30T02:35:41.705708,73,1
ewa_pd90_pf1,4054,6.072585310062442,4.03,1.9972731410600804,2025-07-30T02:35:42.680802,54,2
ewa_pd90_pf1,4055,6.75526685372673,4.24,1.9550959055759898,2025-07-30T02:35:43.657598,75,2
ewa_pd90_pf1,4056,5.796303323415743,4.08,2.0232646885664765,2025-07-30T02:35:44.659415,15,3
ewa_pd90_pf1,4057,7.492005681208753,3.71,1.8777380008936282,2025-07-30T02:35:45.642173,25,3
ewa_pd90_pf1,4058,7.115985869046105,4.01,1.6643016553497745,2025-07-30T02:35:46.617982,51,2
ewa_pd90_pf1,4059,7.6778642437898155,4.32,1.8594622878671134,2025-07-30T02:35:47.604813,57,2
ewa_pd90_pf1,4060,7.427186965930786,4.09,1.7949651807207847,2025-07-30T02:35:48.587841,55,3
ewa_pd90_pf1,4061,7.5616973127422495,3.99,1.8082864817279365,2025-07-30T02:35:49.568509,52,3
ewa_pd90_pf1,4062,7.7121412460789225,3.66,1.7788760496448313,2025-07-30T02:35:50.546096,36,1
ewa_pd90_pf1,4063,6.8402798517416645,4.0,1.6309506430300091,2025-07-30T02:35:51.530708,23,3
ewa_pd90_pf1,4064,6.447063461181244,3.99,1.9823975383358403,2025-07-30T02:35:52.528506,74,2
ewa_pd90_pf1,4065,6.372984003593096,3.94,1.7539669324134934,2025-07-30T02:35:53.601884,24,3
ewa_pd90_pf1,4066,6.943033501331488,3.88,1.8181309083781618,2025-07-30T02:35:54.610741,21,3
ewa_pd90_pf1,4067,6.210637142852918,4.03,1.8785898967044403,2025-07-30T02:35:55.591646,30,1
ewa_pd90_pf1,4068,6.073719740900449,4.01,1.8627667594199764,2025-07-30T02:35:56.546093,60,2
ewa_pd90_pf1,4069,7.561483714760278,4.15,1.8405162319305963,2025-07-30T02:35:57.544466,24,3
ewa_pd90_pf1,4070,6.060682868248926,4.03,2.1746493970293233,2025-07-30T02:35:58.543406,39,3
ewa_pd90_pf1,4071,6.785865800768729,4.27,1.9018675032714554,2025-07-30T02:35:59.542122,78,2
ewa_pd90_pf1,4072,6.344733901312414,3.79,1.681041343929411,2025-07-30T02:36:00.524214,63,2
ewa_pd90_pf1,4073,6.7696058800822145,4.1,1.857417562100671,2025-07-30T02:36:01.513519,29,2
ewa_pd90_pf1,4074,6.93117543808062,4.16,2.0333224043422136,2025-07-30T02:36:02.495999,16,2
ewa_pd90_pf1,4075,6.69269891888647,3.95,1.7965244223221681,2025-07-30T02:36:03.485250,45,3
ewa_pd90_pf1,4076,7.5749262908151636,4.03,1.8839055178007202,2025-07-30T02:36:04.468878,44,2
ewa_pd90_pf1,4077,7.045277582834847,4.19,1.9271481520630425,2025-07-30T02:36:05.451195,51,1
ewa_pd90_pf1,4078,7.167199270928633,4.16,1.701293625450939,2025-07-30T02:36:06.446147,43,2
ewa_pd90_pf1,4079,5.7805947157435655,4.2,1.98997487421324,2025-07-30T02:36:07.430401,72,1
ewa_pd90_pf1,4080,6.9683451281062485,3.9,2.0223748416156684,2025-07-30T02:36:08.430958,58,3
ewa_pd90_pf1,4081,6.822607622462293,4.18,1.8993683160461534,2025-07-30T02:36:09.411884,49,1
ewa_pd90_pf1,4082,7.353791605514754,3.97,1.8892061825009994,2025-07-30T02:36:10.406073,19,3
ewa_pd90_pf1,4083,7.159100849498981,4.02,1.7887425751068822,2025-07-30T02:36:11.393999,15,3
ewa_pd90_pf1,4084,7.01208636507601,3.98,1.8219769482625185,2025-07-30T02:36:12.378359,37,2
ewa_pd90_pf1,4085,6.0449308060608775,3.81,1.6413104520473876,2025-07-30T02:36:13.372190,46,1
ewa_pd90_pf1,4086,6.231696441880707,4.18,2.0267214904865445,2025-07-30T02:36:14.356029,45,1
ewa_pd90_pf1,4087,7.738305765428427,3.7,1.8520259177452136,2025-07-30T02:36:15.355279,59,1
ewa_pd90_pf1,4088,7.4820534714022795,4.23,1.9018675032714556,2025-07-30T02:36:16.350840,76,1
ewa_pd90_pf1,4089,7.8290721092242315,4.12,1.7679366504487652,2025-07-30T02:36:17.322637,29,1
ewa_pd90_pf1,4090,6.907421190417925,4.15,1.920286436967152,2025-07-30T02:36:18.313105,34,1
ewa_pd90_pf1,4091,5.694591817303933,3.81,1.901026038748549,2025-07-30T02:36:19.312607,33,2
ewa_pd90_pf1,4092,7.045898249782127,3.94,1.5863164879682743,2025-07-30T02:36:20.301212,47,1
ewa_pd90_pf1,4093,6.636415142209428,4.02,1.8164801127455263,2025-07-30T02:36:21.277202,34,1
ewa_pd90_pf1,4094,5.110954848448925,3.84,1.8095303258028035,2025-07-30T02:36:22.261948,52,2
ewa_pd90_pf1,4095,6.066772982887809,4.15,1.82414363469547,2025-07-30T02:36:23.253708,31,1
