agent,final_cost,final_bw,final_re,final_bri,Cost_ci_lower,Cost_ci_upper,BW_ci_lower,BW_ci_upper,RE_ci_lower,RE_ci_upper,BRI_ci_lower,BRI_ci_upper,pre_cost,pre_bw,during_cost,during_bw,post_cost,post_bw
Strm,425.89,3.294729305543722,0.9791503224078935,3.228367706956999,407.4059584185852,444.37404158141476,3.0738536480843632,3.515604963003081,0.9738852492902474,0.9844153955255395,3.0087876550927,3.4479477588212983,210.5,2.5839217143564968,12.0,0.08163265306122448,206.5,2.770272029155277
srdqn,286.02,1.0948140109031697,0.9961444782654931,1.0906635115628667,279.10704211815573,292.93295788184423,1.0596394636386133,1.129988558167726,0.9905053593037517,1.0017835972272344,1.054943090310311,1.1263839328154224,203.0,0.9251700680272109,5.5,nan,89.0,1.6509615384615386
ewa_pd90_pf1,244.2,2.5699486995634713,0.9869449997307491,2.536946312091663,238.30676858095472,250.09323141904525,2.465275143254335,2.6746222558726074,0.9820696898137794,0.9918203096477188,2.431559355229735,2.642333268953591,159.5,2.152723535457348,2.0,nan,87.5,2.436113575865128
ewa_pd80_pf5,240.27,0.8272105218632758,1.0092115471230094,0.8328602212987123,231.54344743438298,248.99655256561704,0.7502226543381938,0.9041983893883578,1.0017561216393995,1.0166669726066193,0.7578984320966593,0.9078220105007653,206.0,0.6127618855761483,5.5,nan,54.5,0.912037037037037
ewa_pd70_pf10,234.6,1.8990727281804336,0.9909626835535673,1.8820807411406713,227.4510773617544,241.7489226382456,1.8234052575867747,1.9747401987740925,0.9871286381476635,0.9947967289594711,1.8065398854158041,1.9576215968655384,172.0,1.72550476898303,13.0,7.0,67.5,1.926923076923077
