               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.018695,           0.0092715,          0.00070465,             0.80842,              0.5494,             0.65489,             0.38645,            0.039757,            0.032734,            0.017201,            0.002872,            0.002872,            0.002872
                  38,            0.018755,           0.0092062,          0.00053643,              0.8161,             0.56052,             0.65002,             0.38789,            0.040294,            0.032559,            0.018631,            0.002674,            0.002674,            0.002674
                  39,             0.01812,           0.0091296,          0.00060167,             0.83492,             0.54836,             0.66449,             0.39889,            0.039967,            0.032044,            0.014928,            0.002476,            0.002476,            0.002476
                  40,            0.017517,           0.0086566,          0.00041287,              0.8389,             0.52801,             0.64361,             0.39522,              0.0403,            0.033547,            0.017326,            0.002278,            0.002278,            0.002278
                  41,             0.01776,           0.0090215,          0.00055066,             0.82194,             0.55556,             0.66767,             0.40258,            0.039901,             0.03257,            0.014744,             0.00208,             0.00208,             0.00208
                  42,            0.017381,           0.0086037,          0.00096724,             0.82997,              0.5633,             0.66376,             0.40095,            0.040672,            0.033206,            0.016709,            0.001882,            0.001882,            0.001882
                  43,            0.016795,            0.008355,          0.00051078,             0.82191,             0.53066,             0.62904,             0.38485,             0.03966,            0.034967,            0.016684,            0.001684,            0.001684,            0.001684
                  44,             0.01652,           0.0082588,          0.00040935,             0.82198,             0.52318,             0.64179,             0.39145,            0.039107,             0.03494,            0.016628,            0.001486,            0.001486,            0.001486
                  45,            0.016377,           0.0082785,           0.0004511,             0.83579,             0.55549,             0.65857,             0.39784,            0.039572,             0.03396,            0.016327,            0.001288,            0.001288,            0.001288
                  46,            0.016044,           0.0081799,          0.00048043,             0.83238,             0.52101,             0.65904,             0.40052,            0.040009,            0.035126,             0.01895,             0.00109,             0.00109,             0.00109
                  47,            0.015636,           0.0078091,           0.0005199,             0.82654,             0.50706,               0.648,             0.39813,            0.039982,             0.03529,            0.020248,            0.000892,            0.000892,            0.000892
                  48,            0.015465,            0.007818,          0.00054471,             0.83294,             0.50849,             0.63929,             0.39075,            0.039828,            0.035634,            0.018108,            0.000694,            0.000694,            0.000694
                  49,            0.015196,           0.0077461,          0.00044761,             0.83749,             0.50304,             0.64148,             0.39438,            0.039355,            0.035974,            0.017733,            0.000496,            0.000496,            0.000496
