               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02609,            0.011759,           0.0011172,             0.80287,             0.56769,             0.64743,             0.35416,            0.040366,            0.032249,            0.015222,            0.009307,            0.009307,            0.009307
                  37,            0.025915,             0.01181,            0.001311,             0.80441,             0.56627,             0.65607,             0.36853,            0.040955,            0.030963,            0.011053,           0.0092872,           0.0092872,           0.0092872
                  38,            0.026194,            0.012188,           0.0015393,             0.75608,             0.50072,              0.5733,             0.31796,            0.041642,            0.035455,             0.01664,           0.0092674,           0.0092674,           0.0092674
                  39,            0.026025,            0.012018,           0.0015043,             0.76356,             0.60231,             0.65613,             0.36203,            0.040341,            0.031796,            0.011342,           0.0092476,           0.0092476,           0.0092476
                  40,            0.025384,            0.011659,           0.0012916,              0.8233,             0.57483,             0.67813,             0.37265,            0.039512,            0.032218,            0.010996,           0.0092278,           0.0092278,           0.0092278
                  41,              0.0253,            0.012216,           0.0011568,             0.80849,             0.59336,             0.66925,             0.37269,            0.040115,             0.03174,           0.0097569,            0.009208,            0.009208,            0.009208
                  42,            0.025017,            0.011423,           0.0011972,             0.77331,             0.59446,             0.63996,             0.36376,            0.039919,             0.03077,           0.0098784,           0.0091882,           0.0091882,           0.0091882
                  43,            0.025669,            0.011876,            0.001543,             0.79977,             0.58482,             0.66247,             0.36997,                 nan,                 nan,            0.010192,           0.0091684,           0.0091684,           0.0091684
                  44,            0.025915,            0.011923,           0.0013736,             0.79614,             0.58933,             0.66615,             0.37042,                 nan,                 nan,           0.0090058,           0.0091486,           0.0091486,           0.0091486
                  45,            0.025352,            0.011583,           0.0012421,             0.82346,              0.5999,             0.67609,             0.37609,            0.038886,            0.031575,           0.0089791,           0.0091288,           0.0091288,           0.0091288
                  46,            0.025055,            0.011768,           0.0012938,             0.81781,             0.60107,             0.68196,             0.37622,            0.041075,            0.031167,           0.0086218,            0.009109,            0.009109,            0.009109
                  47,            0.025361,            0.011534,           0.0012391,             0.79328,             0.59709,             0.67902,             0.37911,            0.040041,             0.03177,           0.0075799,           0.0090892,           0.0090892,           0.0090892
                  48,            0.024499,             0.01124,           0.0011835,             0.81712,             0.61651,              0.6784,             0.37029,            0.040479,            0.032412,            0.011972,           0.0090694,           0.0090694,           0.0090694
                  49,            0.024418,            0.011257,          0.00097809,             0.79734,             0.60333,             0.66179,             0.36803,            0.040264,            0.032062,            0.011637,           0.0090496,           0.0090496,           0.0090496
                  50,            0.024842,            0.011524,            0.001129,             0.80548,             0.59636,             0.68171,              0.3741,             0.03974,            0.031866,            0.007731,           0.0090298,           0.0090298,           0.0090298
                  51,            0.024662,            0.011303,            0.001072,             0.79801,              0.5852,               0.656,             0.36816,            0.038686,            0.033428,            0.008553,             0.00901,             0.00901,             0.00901
                  52,            0.024362,             0.01111,           0.0010001,             0.79284,             0.57125,              0.6443,             0.37233,            0.039382,             0.03472,            0.010051,           0.0089902,           0.0089902,           0.0089902
                  53,            0.023929,             0.01134,           0.0014499,             0.80041,             0.57675,             0.63875,             0.35918,            0.039284,            0.033855,            0.010847,           0.0089704,           0.0089704,           0.0089704
                  54,            0.024581,            0.011014,           0.0011209,             0.78561,             0.60473,             0.65049,             0.36214,            0.039634,            0.032567,            0.010164,           0.0089506,           0.0089506,           0.0089506
                  55,            0.024599,              0.0112,           0.0011929,             0.78596,             0.57509,             0.63986,             0.35745,            0.039724,            0.033229,           0.0099333,           0.0089308,           0.0089308,           0.0089308
                  56,            0.024311,            0.011065,           0.0011714,             0.82028,             0.58403,             0.66263,             0.37151,            0.039013,            0.033803,           0.0092904,            0.008911,            0.008911,            0.008911
                  57,            0.024494,            0.011401,           0.0012583,             0.79958,             0.57286,             0.63987,             0.34832,            0.039842,            0.034733,            0.012915,           0.0088912,           0.0088912,           0.0088912
                  58,            0.024294,            0.011073,          0.00096871,             0.80453,             0.58474,             0.64254,             0.36359,            0.040265,            0.034909,            0.016332,           0.0088714,           0.0088714,           0.0088714
                  59,            0.023679,            0.011471,           0.0012182,             0.79148,              0.5477,             0.62783,             0.35695,            0.042644,            0.033468,            0.016229,           0.0088516,           0.0088516,           0.0088516
                  60,            0.023653,            0.011341,          0.00096874,             0.79169,             0.57469,             0.63839,             0.36301,            0.038692,            0.034013,            0.011474,           0.0088318,           0.0088318,           0.0088318
                  61,            0.023874,            0.011019,            0.001143,             0.79212,             0.58135,             0.64359,             0.37486,            0.040277,            0.033195,           0.0096856,            0.008812,            0.008812,            0.008812
                  62,            0.023553,            0.011034,           0.0010065,             0.82257,             0.57647,             0.64659,             0.36316,            0.040203,            0.034763,            0.010628,           0.0087922,           0.0087922,           0.0087922
                  63,            0.023964,            0.011183,           0.0011507,             0.82748,             0.59795,             0.67284,             0.37787,            0.039434,            0.033933,           0.0094309,           0.0087724,           0.0087724,           0.0087724
                  64,            0.023412,            0.010767,          0.00095837,             0.80893,             0.59183,             0.66159,             0.37047,            0.038165,            0.034009,            0.010939,           0.0087526,           0.0087526,           0.0087526
                  65,            0.023715,            0.010783,          0.00097007,             0.81894,             0.56775,             0.64553,             0.36468,            0.039548,            0.035611,           0.0095389,           0.0087328,           0.0087328,           0.0087328
                  66,            0.023254,            0.010644,            0.000778,              0.8384,             0.56262,             0.63678,             0.35767,            0.038772,            0.034251,           0.0091392,            0.008713,            0.008713,            0.008713
                  67,            0.023049,            0.010676,          0.00079204,             0.81597,             0.57163,             0.65669,             0.37066,            0.039026,            0.033744,            0.010377,           0.0086932,           0.0086932,           0.0086932
                  68,            0.022919,            0.010704,          0.00091999,             0.80238,             0.57181,             0.66357,             0.36835,            0.039868,             0.03388,            0.010164,           0.0086734,           0.0086734,           0.0086734
                  69,            0.023182,            0.010691,           0.0010425,             0.79473,             0.56676,             0.64295,             0.36786,            0.040369,            0.033966,            0.012833,           0.0086536,           0.0086536,           0.0086536
                  70,             0.02273,            0.010637,           0.0015109,             0.79356,             0.56624,              0.6394,              0.3581,            0.040953,             0.03429,           0.0094035,           0.0086338,           0.0086338,           0.0086338
                  71,            0.023228,            0.010649,           0.0013444,             0.79663,             0.57314,             0.63961,             0.36627,             0.04039,            0.033946,           0.0096745,            0.008614,            0.008614,            0.008614
                  72,            0.023285,            0.010559,          0.00098401,             0.82809,             0.55303,             0.64626,              0.3618,            0.040284,            0.034228,           0.0094181,           0.0085942,           0.0085942,           0.0085942
                  73,            0.022725,            0.010472,           0.0011133,              0.7982,              0.5758,             0.65077,             0.36677,            0.040428,            0.033099,            0.010076,           0.0085744,           0.0085744,           0.0085744
                  74,            0.022983,            0.010797,          0.00099357,             0.76612,             0.52841,             0.61668,             0.34803,            0.041362,            0.035827,            0.012075,           0.0085546,           0.0085546,           0.0085546
                  75,            0.023212,            0.010656,           0.0014537,             0.78964,             0.57923,             0.65253,             0.36494,            0.041178,            0.034292,            0.010856,           0.0085348,           0.0085348,           0.0085348
                  76,            0.022893,            0.010808,           0.0011338,             0.76308,             0.57921,             0.65325,             0.37025,                 nan,                 nan,            0.012458,            0.008515,            0.008515,            0.008515
                  77,            0.022504,            0.010789,          0.00084989,             0.79621,             0.55947,             0.64127,              0.3593,                 nan,                 nan,            0.013118,           0.0084952,           0.0084952,           0.0084952
                  78,             0.02254,            0.010519,          0.00066513,             0.80453,             0.58427,             0.65089,             0.37245,                 nan,                 nan,            0.013093,           0.0084754,           0.0084754,           0.0084754
                  79,            0.022626,            0.010279,          0.00079023,             0.81358,             0.56166,             0.64157,             0.36947,            0.039908,            0.035518,            0.011192,           0.0084556,           0.0084556,           0.0084556
                  80,            0.022303,            0.010299,            0.000836,             0.80323,              0.5645,              0.6392,             0.35985,            0.039907,            0.034509,            0.011348,           0.0084358,           0.0084358,           0.0084358
                  81,            0.022117,            0.010417,          0.00089536,             0.79496,             0.55705,             0.63595,             0.36685,            0.039193,            0.035761,            0.010176,            0.008416,            0.008416,            0.008416
                  82,             0.02253,            0.010453,           0.0011863,             0.78091,             0.55018,             0.63821,             0.35364,             0.03926,            0.034837,           0.0087653,           0.0083962,           0.0083962,           0.0083962
                  83,            0.022314,            0.010266,          0.00087711,             0.79584,             0.55068,              0.6363,             0.35858,            0.040368,            0.035189,           0.0097737,           0.0083764,           0.0083764,           0.0083764
                  84,            0.022475,            0.010484,           0.0011218,             0.81884,             0.57881,             0.67516,             0.37501,            0.038982,            0.033545,           0.0088135,           0.0083566,           0.0083566,           0.0083566
                  85,            0.022513,            0.010454,           0.0010048,             0.80032,             0.54078,             0.62777,             0.35223,            0.041151,            0.036803,           0.0098378,           0.0083368,           0.0083368,           0.0083368
