agent_type,episode,cumulative_reward,demand_mean,demand_std,timestamp,disruption_start,disruption_duration
srdqn,2001,5.818800347736446,4.1,1.8734993995195197,2025-07-30T07:52:01.092696,59,10
srdqn,2002,4.259785754961049,3.75,1.7514279888136994,2025-07-30T07:52:02.064264,71,2
srdqn,2003,6.043807877823066,3.8,1.8547236990991407,2025-07-30T07:52:03.040172,38,6
srdqn,2004,6.623593233606396,3.83,1.7207847047204945,2025-07-30T07:52:04.017006,48,4
srdqn,2005,5.306170170222445,3.81,1.7475411297019592,2025-07-30T07:52:04.994883,14,3
srdqn,2006,4.37457339212281,4.1,1.8734993995195197,2025-07-30T07:52:05.963398,54,9
srdqn,2007,5.685059290887204,4.01,1.9156983061014592,2025-07-30T07:52:06.941001,34,9
srdqn,2008,4.4702221016713946,3.81,1.7418094040393743,2025-07-30T07:52:07.919306,52,2
srdqn,2009,5.073246189316123,3.88,1.9507947098554472,2025-07-30T07:52:08.881668,34,8
srdqn,2010,5.353965352961679,3.84,1.820549367636044,2025-07-30T07:52:09.947972,75,2
srdqn,2011,6.898708048226128,4.32,1.788183435780569,2025-07-30T07:52:10.984179,32,1
srdqn,2012,7.069676437445878,4.26,1.9163506985935532,2025-07-30T07:52:11.981890,31,7
srdqn,2013,6.950908016674153,4.08,1.775837830433849,2025-07-30T07:52:12.927362,59,2
srdqn,2014,7.402118525314727,4.13,1.758721126273293,2025-07-30T07:52:13.955370,13,1
srdqn,2015,7.173045151648818,4.12,1.9762590923257,2025-07-30T07:52:14.951195,12,5
srdqn,2016,5.644019107527544,4.04,1.777188791321845,2025-07-30T07:52:15.921555,39,1
srdqn,2017,5.041682330562802,3.73,2.0681150838384212,2025-07-30T07:52:16.898218,12,2
srdqn,2018,6.204313270127627,3.87,1.998274255451438,2025-07-30T07:52:17.870806,55,5
srdqn,2019,7.246790632003994,4.24,1.8874321179846443,2025-07-30T07:52:18.840367,34,4
srdqn,2020,6.756908684757249,3.99,1.8627667594199764,2025-07-30T07:52:19.811210,51,5
srdqn,2021,5.871569251554139,4.25,1.6874537030686205,2025-07-30T07:52:20.786158,48,7
srdqn,2022,4.074278867606187,3.75,1.8076227482525218,2025-07-30T07:52:21.750783,15,9
srdqn,2023,6.084216306030724,3.98,1.816480112745526,2025-07-30T07:52:22.720235,54,10
srdqn,2024,5.61353862447718,3.83,1.760994037468611,2025-07-30T07:52:23.698620,35,4
srdqn,2025,5.862636028867394,4.05,1.7965244223221681,2025-07-30T07:52:24.675590,65,8
srdqn,2026,6.856103383484677,4.03,1.7404309811078404,2025-07-30T07:52:25.645661,61,4
srdqn,2027,6.97202977539209,4.09,1.7268178826963774,2025-07-30T07:52:26.621509,47,1
srdqn,2028,6.2351126074387055,4.16,1.932459572668986,2025-07-30T07:52:27.590205,47,4
srdqn,2029,7.0319240794881095,3.95,1.835074930350257,2025-07-30T07:52:28.558779,70,9
srdqn,2030,6.940643786408595,4.22,1.8739263592788271,2025-07-30T07:52:29.523555,66,2
srdqn,2031,6.792472766276651,3.96,1.731588865753069,2025-07-30T07:52:30.502498,19,5
srdqn,2032,3.6082246505672693,3.59,1.7498285630312473,2025-07-30T07:52:31.477427,34,3
srdqn,2033,5.835614086350677,4.27,1.7936276090649363,2025-07-30T07:52:32.441637,34,2
srdqn,2034,5.154150533903242,3.88,1.7451647486698787,2025-07-30T07:52:33.418111,10,3
srdqn,2035,4.4239342934132635,3.85,1.904599695474091,2025-07-30T07:52:34.395369,13,2
srdqn,2036,5.137629375268315,4.0,1.865475810617763,2025-07-30T07:52:35.374577,20,1
srdqn,2037,5.426075252609442,4.12,1.807097119692243,2025-07-30T07:52:36.361605,10,8
srdqn,2038,5.081996676932366,3.91,1.7668899230002983,2025-07-30T07:52:37.328026,59,5
srdqn,2039,5.833944537310221,4.0,1.7435595774162693,2025-07-30T07:52:38.282033,57,8
srdqn,2040,5.577552841557772,3.94,1.8320480343047776,2025-07-30T07:52:39.263735,17,8
srdqn,2041,6.166595040257329,4.19,1.9115177216023918,2025-07-30T07:52:40.234605,37,6
srdqn,2042,5.514052667563128,4.02,1.8383688422076785,2025-07-30T07:52:41.202103,45,1
srdqn,2043,5.898270685567844,3.91,1.6618965070063783,2025-07-30T07:52:42.169970,12,9
srdqn,2044,4.682820633748771,4.01,1.9209112420931895,2025-07-30T07:52:43.140209,54,2
srdqn,2045,6.701628050596189,4.13,1.7643979143039132,2025-07-30T07:52:44.120604,62,2
srdqn,2046,6.791796230557032,3.94,1.7934324631833782,2025-07-30T07:52:45.097744,39,3
srdqn,2047,5.970932143811487,4.03,1.621449968392488,2025-07-30T07:52:46.066407,25,1
srdqn,2048,5.844108554969367,4.41,1.8978672240175285,2025-07-30T07:52:47.045201,17,6
srdqn,2049,6.187876269320846,4.03,1.9670027961342609,2025-07-30T07:52:48.013917,27,9
srdqn,2050,5.362084196825435,3.98,1.7718916445426338,2025-07-30T07:52:48.988219,67,1
srdqn,2051,5.487652537521001,4.04,2.0145470955031057,2025-07-30T07:52:49.970955,33,1
srdqn,2052,5.120459898597143,3.92,1.7982213434391217,2025-07-30T07:52:50.951075,38,9
srdqn,2053,6.021626849592874,4.21,1.8291801442176219,2025-07-30T07:52:51.934061,71,7
srdqn,2054,5.387649900377796,3.75,1.7909494688572316,2025-07-30T07:52:52.900624,38,4
srdqn,2055,6.696188773133003,4.21,1.9457389341841314,2025-07-30T07:52:53.873754,29,8
srdqn,2056,5.538711036572693,4.02,1.7605680901345453,2025-07-30T07:52:54.849183,59,5
srdqn,2057,6.554110793378889,4.12,1.750885490259143,2025-07-30T07:52:55.839133,21,10
srdqn,2058,6.074191264830013,4.15,1.7741194999210173,2025-07-30T07:52:56.817712,56,1
srdqn,2059,6.284684762448173,4.16,1.8958902921846505,2025-07-30T07:52:57.794540,31,4
srdqn,2060,6.589212371390356,4.15,1.6393596310755,2025-07-30T07:52:58.872907,50,6
srdqn,2061,6.227766411203304,4.0,1.794435844492636,2025-07-30T07:52:59.850388,46,6
srdqn,2062,5.622774580413367,4.16,1.968349562450735,2025-07-30T07:53:00.849442,34,8
srdqn,2063,6.667711271228043,4.3,1.8411952639521971,2025-07-30T07:53:01.779953,48,1
srdqn,2064,6.218055100229068,3.97,1.857175274442345,2025-07-30T07:53:02.785757,71,1
srdqn,2065,5.325356297471866,3.67,1.7149635564641015,2025-07-30T07:53:03.772242,13,5
srdqn,2066,6.008670651043839,4.18,1.9255129186790723,2025-07-30T07:53:04.740402,57,1
srdqn,2067,6.831034764237246,4.18,1.6515447314559784,2025-07-30T07:53:05.723918,18,7
srdqn,2068,7.045470494994504,4.43,1.779072792215091,2025-07-30T07:53:06.697571,61,4
srdqn,2069,2.8811078295499746,3.85,1.851350858157362,2025-07-30T07:53:07.671585,35,1
srdqn,2070,5.777232616124521,4.01,1.9052296449509702,2025-07-30T07:53:08.649082,72,8
srdqn,2071,6.348513807775339,3.7,1.7748239349298849,2025-07-30T07:53:09.631769,64,1
srdqn,2072,6.031042630203548,3.88,1.7792133093027376,2025-07-30T07:53:10.614574,44,7
srdqn,2073,6.184450904059057,4.08,2.0721003836687064,2025-07-30T07:53:11.604044,45,9
srdqn,2074,4.527512288370787,4.1,1.9052558883257653,2025-07-30T07:53:12.577332,22,10
srdqn,2075,6.738001569227971,3.97,1.9568086263096858,2025-07-30T07:53:13.551349,31,7
srdqn,2076,5.253944576714963,3.92,1.741723284566179,2025-07-30T07:53:14.530349,25,8
srdqn,2077,5.4972325991313165,4.16,1.963262590689284,2025-07-30T07:53:15.458750,36,8
srdqn,2078,4.510900073999704,3.98,1.8813824704190265,2025-07-30T07:53:16.420001,69,10
srdqn,2079,5.376976626932889,3.82,1.7853851125177447,2025-07-30T07:53:17.399593,51,10
srdqn,2080,4.144631001143579,3.94,1.9121715404220405,2025-07-30T07:53:18.381989,68,5
srdqn,2081,6.396334005086162,3.95,1.6023420358962064,2025-07-30T07:53:19.358178,28,7
srdqn,2082,5.415310738810401,3.99,2.0074610830598933,2025-07-30T07:53:20.328792,69,3
srdqn,2083,5.071026803463213,3.72,1.8443427013437603,2025-07-30T07:53:21.315220,25,9
srdqn,2084,5.5141467900453165,4.11,1.886239645432149,2025-07-30T07:53:22.287267,67,4
srdqn,2085,3.9789587995496873,3.86,1.7089177862027187,2025-07-30T07:53:23.259287,23,6
srdqn,2086,5.983613372345307,4.16,1.820549367636044,2025-07-30T07:53:24.237732,62,3
srdqn,2087,6.629279935138098,4.25,1.8887826767524103,2025-07-30T07:53:25.216799,69,5
srdqn,2088,5.345390922024626,3.86,1.9027348738066479,2025-07-30T07:53:26.186115,71,5
srdqn,2089,5.396976589801865,4.01,1.813808148619914,2025-07-30T07:53:27.160896,63,10
srdqn,2090,5.850054434942502,4.05,1.7628102563804193,2025-07-30T07:53:28.131272,49,3
srdqn,2091,5.782277122541278,4.09,1.8498378307300345,2025-07-30T07:53:29.103868,40,5
srdqn,2092,6.083884497315125,3.95,1.7342145196024628,2025-07-30T07:53:30.074738,26,1
srdqn,2093,7.023062052130214,4.09,1.8713364208500833,2025-07-30T07:53:31.061653,33,6
srdqn,2094,6.154102368990232,3.87,1.65924681708298,2025-07-30T07:53:32.038826,10,4
srdqn,2095,6.3724855832806355,4.15,1.9868316486305528,2025-07-30T07:53:33.009416,15,1
srdqn,2096,6.191951478148768,4.16,1.9530488985173924,2025-07-30T07:53:33.974902,55,4
srdqn,2097,4.967394031017989,3.8,1.9026297590440449,2025-07-30T07:53:34.955540,22,1
srdqn,2098,6.563135881026953,4.41,1.6558683522550939,2025-07-30T07:53:35.944371,71,7
srdqn,2099,6.311634461086773,4.11,1.8649128665972572,2025-07-30T07:53:36.917853,25,1
srdqn,2100,7.06626216946735,3.97,1.705608395851756,2025-07-30T07:53:37.897318,25,8
srdqn,2101,5.241500025816432,4.12,1.8829763673503712,2025-07-30T07:53:43.085089,30,2
srdqn,2102,6.277492243695109,3.98,1.7145261736118234,2025-07-30T07:53:44.061567,34,2
srdqn,2103,6.271680710697444,4.12,1.9249935064825543,2025-07-30T07:53:45.042881,24,7
srdqn,2104,6.7730398843181,4.08,1.8529975715040752,2025-07-30T07:53:46.034025,22,2
srdqn,2105,6.041104056779247,4.08,1.9425756098540927,2025-07-30T07:53:47.010304,67,4
srdqn,2106,4.746701462718547,4.5,1.6643316977093239,2025-07-30T07:53:47.983654,47,10
srdqn,2107,6.3995221916307665,3.78,1.8792551716038994,2025-07-30T07:53:48.959557,16,7
srdqn,2108,6.7992202219423,4.15,1.5835087622113115,2025-07-30T07:53:49.944674,19,10
srdqn,2109,3.4643937042812167,4.04,1.8863721796082553,2025-07-30T07:53:50.927542,53,10
srdqn,2110,6.027653228936462,4.21,1.6869795493721909,2025-07-30T07:53:52.003772,51,8
srdqn,2111,6.532365319711883,4.22,1.5784802817900512,2025-07-30T07:53:52.989518,51,1
srdqn,2112,5.781411733035522,4.07,1.8614779074702978,2025-07-30T07:53:53.978888,26,4
srdqn,2113,7.102614254881996,4.37,1.8366001197865582,2025-07-30T07:53:54.904413,40,4
srdqn,2114,5.636702606818173,4.22,1.7639727889057701,2025-07-30T07:53:55.927731,52,2
srdqn,2115,5.584292380510171,4.04,1.9438106903708499,2025-07-30T07:53:56.928151,17,2
srdqn,2116,6.561496875397629,4.18,1.8675117134840147,2025-07-30T07:53:57.899871,20,7
srdqn,2117,5.585424389251299,4.18,1.8021098745637014,2025-07-30T07:53:58.883272,37,9
srdqn,2118,5.456216777662503,3.82,1.7226723426119084,2025-07-30T07:53:59.874352,41,8
srdqn,2119,6.484946279266799,4.38,1.7365483005087996,2025-07-30T07:54:00.846124,42,8
srdqn,2120,5.049738015973907,4.07,1.8179933993279511,2025-07-30T07:54:01.828068,15,7
srdqn,2121,4.786779418609022,3.84,1.8958902921846505,2025-07-30T07:54:02.816060,62,2
srdqn,2122,5.43935178627017,4.04,1.8810635289643995,2025-07-30T07:54:03.800943,15,5
srdqn,2123,6.315412873114876,4.35,1.9254869513969706,2025-07-30T07:54:04.779906,75,2
srdqn,2124,6.28930955227404,4.38,1.9119623427254,2025-07-30T07:54:05.751618,52,6
srdqn,2125,4.108468808229181,4.01,1.8519989200860782,2025-07-30T07:54:06.723835,76,3
srdqn,2126,4.8066518806543455,3.97,1.8732591918898995,2025-07-30T07:54:07.700719,40,8
srdqn,2127,5.629656840138864,4.17,2.020173259896289,2025-07-30T07:54:08.678139,22,7
srdqn,2128,5.763781268964115,4.11,1.7600852252092793,2025-07-30T07:54:09.648759,32,9
srdqn,2129,4.642946545460988,4.19,1.9682225483923306,2025-07-30T07:54:10.625701,25,9
srdqn,2130,3.8156703952772655,4.32,1.8214280112043957,2025-07-30T07:54:11.611260,17,5
srdqn,2131,5.4593938588694595,3.78,1.7296242366479493,2025-07-30T07:54:12.597913,14,10
srdqn,2132,5.16273753068972,3.63,1.8146900561803936,2025-07-30T07:54:13.585411,17,7
srdqn,2133,5.63770193413855,4.27,1.9842126902124175,2025-07-30T07:54:14.562795,29,1
srdqn,2134,5.915604562687802,3.72,1.5497096502248413,2025-07-30T07:54:15.541709,24,6
srdqn,2135,7.135048016496278,3.98,1.5098344280085814,2025-07-30T07:54:16.515777,31,2
srdqn,2136,5.556799087593625,4.07,1.924863631533413,2025-07-30T07:54:17.493875,19,10
srdqn,2137,6.103592810241568,4.2,2.0149441679609885,2025-07-30T07:54:18.466670,49,5
srdqn,2138,7.040449557283973,3.98,1.7718916445426338,2025-07-30T07:54:19.442468,10,4
srdqn,2139,7.021858115180828,4.14,1.8111874557869487,2025-07-30T07:54:20.418040,63,2
srdqn,2140,4.615237015009779,4.03,1.956808626309686,2025-07-30T07:54:21.417886,29,10
srdqn,2141,6.575674481192944,4.27,1.642284993537967,2025-07-30T07:54:22.394688,62,10
srdqn,2142,4.773453050143288,3.72,1.5942396306703706,2025-07-30T07:54:23.368763,47,6
srdqn,2143,6.066047061802579,4.11,1.6786601800245338,2025-07-30T07:54:24.343730,19,7
srdqn,2144,4.1390349314053125,3.7,1.7916472867168918,2025-07-30T07:54:25.318652,70,1
srdqn,2145,3.2753480910142865,3.75,1.935846068260594,2025-07-30T07:54:26.290447,54,8
srdqn,2146,5.708593691226552,4.17,1.7032615770926085,2025-07-30T07:54:27.275154,58,9
srdqn,2147,6.1211560952116155,4.02,1.84921605011421,2025-07-30T07:54:28.250362,30,6
srdqn,2148,5.9772848598640245,3.77,1.8700534751712314,2025-07-30T07:54:29.218978,43,6
srdqn,2149,6.929596736714984,4.06,1.748256274120016,2025-07-30T07:54:30.188458,33,5
srdqn,2150,5.388265388692857,4.05,1.745709025009609,2025-07-30T07:54:31.161919,44,9
srdqn,2151,6.370988991392605,3.77,1.8322390673708497,2025-07-30T07:54:32.143571,42,5
srdqn,2152,5.829363226097921,4.02,1.8109665927343885,2025-07-30T07:54:33.113636,62,3
srdqn,2153,6.752840138459118,3.87,1.8036352181081408,2025-07-30T07:54:34.093230,17,3
srdqn,2154,5.999598019862589,4.08,1.852997571504075,2025-07-30T07:54:35.068370,11,9
