agent_type,episode,cumulative_reward,demand_mean,demand_std,timestamp,disruption_start,disruption_duration
ewa_pd90_pf1,7001,6.17012930899155,4.16,1.9632625906892842,2025-07-30T11:06:04.974287,34,9
ewa_pd90_pf1,7002,9.233551032969512,3.95,1.7051392904979934,2025-07-30T11:06:05.913457,64,7
ewa_pd90_pf1,7003,6.718842019195692,4.04,1.9022092419079453,2025-07-30T11:06:06.853495,56,10
ewa_pd90_pf1,7004,7.073823641092429,4.24,1.8821264569629748,2025-07-30T11:06:07.791597,50,4
ewa_pd90_pf1,7005,8.417412449955524,3.76,1.6859418732566078,2025-07-30T11:06:08.706737,41,7
ewa_pd90_pf1,7006,7.240391715656028,4.25,1.8296174463531987,2025-07-30T11:06:09.631584,66,6
ewa_pd90_pf1,7007,7.353357474364065,4.21,1.812705160802495,2025-07-30T11:06:10.562181,21,6
ewa_pd90_pf1,7008,7.59893091270951,4.13,2.0671477934584166,2025-07-30T11:06:11.477776,14,4
ewa_pd90_pf1,7009,7.7905940219037095,3.89,1.8649128665972572,2025-07-30T11:06:12.403321,49,6
ewa_pd90_pf1,7010,7.024352806046775,3.9,1.76351920885484,2025-07-30T11:06:13.327519,38,3
ewa_pd90_pf1,7011,6.3175590419561285,3.93,1.8721912295489478,2025-07-30T11:06:14.240110,14,2
ewa_pd90_pf1,7012,6.402381952979679,4.11,1.7543944824354638,2025-07-30T11:06:15.168288,17,5
ewa_pd90_pf1,7013,6.015644611601143,4.22,1.7976651523573572,2025-07-30T11:06:16.077793,55,5
ewa_pd90_pf1,7014,6.751338512791654,4.02,2.0198019704911667,2025-07-30T11:06:16.982555,21,3
ewa_pd90_pf1,7015,8.332840997222664,4.08,1.665412861725284,2025-07-30T11:06:17.994940,23,10
ewa_pd90_pf1,7016,6.894377465880908,3.93,1.8881472400212862,2025-07-30T11:06:18.949469,50,9
ewa_pd90_pf1,7017,7.795251384815059,3.9,1.91049731745428,2025-07-30T11:06:19.909301,38,5
ewa_pd90_pf1,7018,7.85903344902798,3.59,1.8713364208500833,2025-07-30T11:06:20.825850,68,10
ewa_pd90_pf1,7019,7.133024834423988,4.11,1.7198546450209098,2025-07-30T11:06:21.814508,21,1
ewa_pd90_pf1,7020,7.274337055478284,3.94,1.7018813119603846,2025-07-30T11:06:22.741886,48,5
ewa_pd90_pf1,7021,7.887241127597525,3.82,1.6755894485225191,2025-07-30T11:06:23.676365,59,8
ewa_pd90_pf1,7022,7.689973421051575,4.08,1.7588632692736523,2025-07-30T11:06:24.601777,36,7
ewa_pd90_pf1,7023,7.993467586613968,3.71,1.6142800252744254,2025-07-30T11:06:25.513351,14,8
ewa_pd90_pf1,7024,6.925786445160315,4.23,1.6361845861637985,2025-07-30T11:06:26.391004,15,10
ewa_pd90_pf1,7025,7.980184532453734,4.1,1.7691806012954132,2025-07-30T11:06:27.309785,21,10
ewa_pd90_pf1,7026,8.154694897804466,4.24,1.8661189672687,2025-07-30T11:06:28.240264,64,9
ewa_pd90_pf1,7027,7.870642866151883,3.92,1.7814600753314678,2025-07-30T11:06:29.172627,44,3
ewa_pd90_pf1,7028,7.170300217928681,3.83,1.8058515996615006,2025-07-30T11:06:30.084233,27,4
ewa_pd90_pf1,7029,8.046992405471366,4.03,1.8409508412774092,2025-07-30T11:06:30.990159,41,7
ewa_pd90_pf1,7030,6.891385409845124,4.11,1.9229924596836045,2025-07-30T11:06:31.899435,36,9
ewa_pd90_pf1,7031,7.447870883890222,4.02,1.6369483803712321,2025-07-30T11:06:32.830870,73,2
ewa_pd90_pf1,7032,7.609308321056829,3.86,2.088157082213884,2025-07-30T11:06:33.743618,65,1
ewa_pd90_pf1,7033,7.040105310391258,4.16,1.8369540005128053,2025-07-30T11:06:34.664833,14,8
ewa_pd90_pf1,7034,9.282395246095906,3.83,1.6189811611010179,2025-07-30T11:06:35.574029,65,10
ewa_pd90_pf1,7035,7.844156247772227,4.26,1.8526737435393206,2025-07-30T11:06:36.484987,51,8
ewa_pd90_pf1,7036,6.74731328779254,3.99,2.0272888299401246,2025-07-30T11:06:37.400137,43,6
ewa_pd90_pf1,7037,8.329515681718176,3.81,1.9219521325985203,2025-07-30T11:06:38.302192,38,8
ewa_pd90_pf1,7038,7.007882866968382,4.13,1.8636254988596823,2025-07-30T11:06:39.220660,19,5
ewa_pd90_pf1,7039,7.408797187502992,3.83,1.7891618149289907,2025-07-30T11:06:40.127156,43,8
ewa_pd90_pf1,7040,7.769244317632189,4.28,1.954891301325984,2025-07-30T11:06:41.058690,61,1
ewa_pd90_pf1,7041,7.8814865681820905,3.86,1.7889661819050688,2025-07-30T11:06:41.990449,60,8
ewa_pd90_pf1,7042,7.165592327450647,4.3,2.046948949045872,2025-07-30T11:06:42.900922,68,4
ewa_pd90_pf1,7043,6.7687206479451545,4.02,1.7998888854593218,2025-07-30T11:06:43.806459,63,2
ewa_pd90_pf1,7044,7.6335757493836445,3.91,1.8606181768433845,2025-07-30T11:06:44.719150,41,4
ewa_pd90_pf1,7045,7.0141104245227135,4.16,1.7533967035442948,2025-07-30T11:06:45.627852,69,9
ewa_pd90_pf1,7046,5.748217947115793,3.54,1.757384420097094,2025-07-30T11:06:46.563171,43,3
ewa_pd90_pf1,7047,6.620210573021467,4.11,1.8809306207300682,2025-07-30T11:06:47.489678,17,1
ewa_pd90_pf1,7048,8.663618941563538,4.07,1.7677952370113457,2025-07-30T11:06:48.403258,60,10
ewa_pd90_pf1,7049,7.742335359478772,3.89,1.8862396454321488,2025-07-30T11:06:49.330408,52,5
ewa_pd90_pf1,7050,8.352677963338156,3.75,1.8459414941974732,2025-07-30T11:06:50.259768,36,9
ewa_pd90_pf1,7051,7.838949148687962,3.83,1.7666635220097797,2025-07-30T11:06:51.167600,44,7
ewa_pd90_pf1,7052,7.201862231948233,4.04,1.799555500672319,2025-07-30T11:06:52.101544,64,1
ewa_pd90_pf1,7053,7.694681635284457,3.86,1.794547296674011,2025-07-30T11:06:53.011385,10,4
ewa_pd90_pf1,7054,8.320363630007787,4.15,1.8834808201837365,2025-07-30T11:06:53.928179,56,4
ewa_pd90_pf1,7055,8.157893128124831,4.36,1.8304097901836078,2025-07-30T11:06:54.860725,47,4
ewa_pd90_pf1,7056,6.824382088487308,4.08,1.8797872220014689,2025-07-30T11:06:55.785120,67,6
ewa_pd90_pf1,7057,7.530889350378585,3.87,1.71262955714305,2025-07-30T11:06:56.702110,46,1
ewa_pd90_pf1,7058,8.558883051576826,3.95,1.7628102563804193,2025-07-30T11:06:57.617215,70,8
ewa_pd90_pf1,7059,7.836136434861679,3.88,1.8829763673503712,2025-07-30T11:06:58.533559,37,9
ewa_pd90_pf1,7060,7.524762580574499,4.27,1.7484564621402505,2025-07-30T11:06:59.454700,66,3
ewa_pd90_pf1,7061,7.260673394448886,4.26,1.7240649639732257,2025-07-30T11:07:00.366322,55,7
ewa_pd90_pf1,7062,7.737731462977415,4.11,1.7994165721144173,2025-07-30T11:07:01.284602,63,3
ewa_pd90_pf1,7063,7.135869936182647,4.14,1.8385864135253476,2025-07-30T11:07:02.192360,21,2
