agent_type,episode,cumulative_reward,demand_mean,demand_std,timestamp,disruption_start,disruption_duration
ewa_pd90_pf1,3001,6.474675607321738,4.13,1.8528626500634093,2025-07-30T10:02:35.656624,46,1
ewa_pd90_pf1,3002,5.906244524492887,3.62,1.8696523741059459,2025-07-30T10:02:36.587193,48,7
ewa_pd90_pf1,3003,7.360593297453801,4.22,1.947203122429707,2025-07-30T10:02:37.497332,31,6
ewa_pd90_pf1,3004,6.319263995556618,4.32,1.9072493282211427,2025-07-30T10:02:38.425249,29,6
ewa_pd90_pf1,3005,8.070562935161153,4.02,1.9130081024397152,2025-07-30T10:02:39.349015,15,10
ewa_pd90_pf1,3006,7.625876747081134,3.93,1.8014161096204286,2025-07-30T10:02:40.255727,64,4
ewa_pd90_pf1,3007,7.721230009318739,4.1,2.0808652046684815,2025-07-30T10:02:41.161388,50,8
ewa_pd90_pf1,3008,7.487928151554533,4.1,1.972308292331602,2025-07-30T10:02:42.081593,57,7
ewa_pd90_pf1,3009,7.732139368783322,3.73,1.788043623628909,2025-07-30T10:02:42.996698,56,9
ewa_pd90_pf1,3010,8.051055474908999,3.97,1.8997631431312694,2025-07-30T10:02:43.916565,33,4
ewa_pd90_pf1,3011,7.230961451498541,3.96,1.8380424369420851,2025-07-30T10:02:44.851282,67,5
ewa_pd90_pf1,3012,8.389008679084617,4.15,1.8459414941974734,2025-07-30T10:02:45.788095,20,6
ewa_pd90_pf1,3013,8.13995862347055,4.0,1.9131126469708992,2025-07-30T10:02:46.699638,64,1
ewa_pd90_pf1,3014,7.225039858314975,4.14,1.9288338445807094,2025-07-30T10:02:47.611462,46,4
ewa_pd90_pf1,3015,7.362829339552086,4.1,1.9157244060668015,2025-07-30T10:02:48.632031,32,3
ewa_pd90_pf1,3016,8.042914594898905,3.89,1.7372104075212074,2025-07-30T10:02:49.583305,16,6
ewa_pd90_pf1,3017,7.9754062653104,3.96,1.70833252032501,2025-07-30T10:02:50.518923,43,10
ewa_pd90_pf1,3018,8.139645724341195,4.08,1.8203296404772407,2025-07-30T10:02:51.402007,41,5
ewa_pd90_pf1,3019,6.905567456025704,4.08,1.8956792977716455,2025-07-30T10:02:52.393732,34,5
ewa_pd90_pf1,3020,6.584834374225887,3.99,1.9364658530425989,2025-07-30T10:02:53.316459,45,3
ewa_pd90_pf1,3021,5.939564539362534,3.7,1.6941074346097416,2025-07-30T10:02:54.238141,30,9
ewa_pd90_pf1,3022,7.95550861408693,4.27,1.7655310815729073,2025-07-30T10:02:55.147381,44,8
ewa_pd90_pf1,3023,6.6539407296161945,4.36,1.936594949905633,2025-07-30T10:02:56.072810,10,7
ewa_pd90_pf1,3024,7.911072173041064,4.12,1.986353442869622,2025-07-30T10:02:56.984086,43,9
ewa_pd90_pf1,3025,8.074105712507066,4.32,1.7197674261364528,2025-07-30T10:02:57.894303,57,3
ewa_pd90_pf1,3026,6.533277390520504,4.17,1.8278676100855882,2025-07-30T10:02:58.799607,29,3
ewa_pd90_pf1,3027,6.887059601276169,3.99,1.8627667594199764,2025-07-30T10:02:59.712680,69,1
