agent_type,episode,cumulative_reward,demand_mean,demand_std,timestamp,disruption_start,disruption_duration
ewa_pd80_pf5,1,-113.51661187462248,4.16,1.695405556201819,2025-07-30T11:17:24.454651,61,2
ewa_pd80_pf5,2,-112.29199293328118,4.14,1.7721173776022854,2025-07-30T11:17:24.462630,71,2
ewa_pd80_pf5,3,-107.3714814395393,4.12,1.812622409659552,2025-07-30T11:17:24.469611,58,4
ewa_pd80_pf5,4,-106.51133752590945,3.99,1.7058429001522972,2025-07-30T11:17:24.476592,67,4
ewa_pd80_pf5,5,-104.61274892993775,3.95,1.8186533479473213,2025-07-30T11:17:24.483574,25,9
ewa_pd80_pf5,6,-107.17188592144277,4.12,2.050755958177374,2025-07-30T11:17:24.490554,15,2
ewa_pd80_pf5,7,-100.97642217231554,4.41,1.887299658241902,2025-07-30T11:17:24.498533,22,6
ewa_pd80_pf5,8,-107.42824906455948,4.22,1.8142767153882564,2025-07-30T11:17:24.505515,67,1
ewa_pd80_pf5,9,-108.53112598571786,3.86,1.7263835031649257,2025-07-30T11:17:24.512496,20,1
ewa_pd80_pf5,10,-114.55630080412774,4.15,2.021756661915573,2025-07-30T11:17:24.519480,56,6
ewa_pd80_pf5,11,-111.39277211020033,4.12,2.1320412753978286,2025-07-30T11:17:24.527428,60,10
ewa_pd80_pf5,12,-113.70230120846969,4.05,1.9254869513969706,2025-07-30T11:17:24.534409,47,6
ewa_pd80_pf5,13,-107.66596360459948,4.1,1.740689518552921,2025-07-30T11:17:24.541419,65,2
ewa_pd80_pf5,14,-102.66495532218333,4.12,1.8562327440275372,2025-07-30T11:17:24.548400,40,4
ewa_pd80_pf5,15,-105.96343536126768,3.99,1.851998920086078,2025-07-30T11:17:24.646570,28,7
ewa_pd80_pf5,16,-103.16673933273205,3.7,1.9157244060668017,2025-07-30T11:17:25.081378,71,8
ewa_pd80_pf5,17,-105.41447835664071,3.87,1.7184586116633709,2025-07-30T11:17:25.479314,18,3
ewa_pd80_pf5,18,-104.94407647802338,4.19,1.7927353401994395,2025-07-30T11:17:25.937090,69,4
ewa_pd80_pf5,19,-107.16507251695003,4.46,1.8353201355621855,2025-07-30T11:17:26.344002,47,1
ewa_pd80_pf5,20,-110.75998547069186,4.13,1.7126295571430503,2025-07-30T11:17:26.807761,67,10
ewa_pd80_pf5,21,-104.3196114378392,4.17,1.7835638480301175,2025-07-30T11:17:27.224647,64,1
ewa_pd80_pf5,22,-104.80293826834583,4.42,1.9451478092936791,2025-07-30T11:17:27.705361,15,2
ewa_pd80_pf5,23,-114.04373621972027,4.07,1.8234856730997366,2025-07-30T11:17:28.117260,52,10
ewa_pd80_pf5,24,-108.00948692949197,3.81,1.6167560112769026,2025-07-30T11:17:28.553094,71,2
ewa_pd80_pf5,25,-102.8863592438602,4.07,1.8234856730997366,2025-07-30T11:17:28.980951,28,10
ewa_pd80_pf5,26,-101.8023599324148,4.32,1.7825823964125753,2025-07-30T11:17:29.443713,10,5
ewa_pd80_pf5,27,-110.35313852380462,3.85,1.69336942218761,2025-07-30T11:17:29.854614,40,6
ewa_pd80_pf5,28,-102.67763129012432,4.39,1.7543944824354645,2025-07-30T11:17:30.255542,17,7
ewa_pd80_pf5,29,-105.94822850246754,3.84,1.7533967035442948,2025-07-30T11:17:30.709328,64,9
ewa_pd80_pf5,30,-101.30925553257462,4.16,1.8746733048720783,2025-07-30T11:17:31.098288,30,5
ewa_pd80_pf5,31,-105.44411865144802,3.7,1.8788294228055935,2025-07-30T11:17:31.488246,27,8
ewa_pd80_pf5,32,-104.20519617438504,3.59,1.8005277004256277,2025-07-30T11:17:31.898150,56,6
ewa_pd80_pf5,33,-112.83820721933346,3.86,1.5749285698088025,2025-07-30T11:17:32.307231,66,3
ewa_pd80_pf5,34,-109.4371276603028,4.22,1.706341114783325,2025-07-30T11:17:32.735586,49,2
ewa_pd80_pf5,35,-114.16332311341003,4.09,1.8552358340653083,2025-07-30T11:17:33.161692,74,6
ewa_pd80_pf5,36,-99.85293165552386,4.02,1.8492160501142099,2025-07-30T11:17:33.594548,23,9
ewa_pd80_pf5,37,-100.72940722335437,4.42,1.8394564414522026,2025-07-30T11:17:34.016388,46,4
ewa_pd80_pf5,38,-103.28820061155535,3.94,1.8320480343047776,2025-07-30T11:17:34.447383,45,3
ewa_pd80_pf5,39,-103.38172890978608,4.2,1.9026297590440449,2025-07-30T11:17:34.879883,53,4
ewa_pd80_pf5,40,-109.33495021826107,4.08,1.7417232845661794,2025-07-30T11:17:35.317938,63,9
ewa_pd80_pf5,41,-103.77759085181789,4.2,1.9949937343260002,2025-07-30T11:17:35.745857,10,3
ewa_pd80_pf5,42,-106.68062291630416,4.16,1.968349562450735,2025-07-30T11:17:36.182688,41,7
ewa_pd80_pf5,43,-109.53982403424043,3.91,1.817113094994365,2025-07-30T11:17:36.615430,51,3
ewa_pd80_pf5,44,-105.77073455846246,4.17,1.8496215829190574,2025-07-30T11:17:37.053652,66,4
ewa_pd80_pf5,45,-101.08293217122169,4.1,1.8734993995195195,2025-07-30T11:17:37.522561,38,1
ewa_pd80_pf5,46,-107.9349927771309,4.13,1.809171080909708,2025-07-30T11:17:37.978795,43,1
ewa_pd80_pf5,47,-110.22145601352115,3.94,1.8537529500987988,2025-07-30T11:17:38.416676,21,6
ewa_pd80_pf5,48,-105.25614335354113,4.54,1.971902634513175,2025-07-30T11:17:38.845530,60,5
ewa_pd80_pf5,49,-109.0060410110315,3.89,1.832457366489054,2025-07-30T11:17:39.293627,44,10
ewa_pd80_pf5,50,-103.29785125983406,3.98,1.7718916445426338,2025-07-30T11:17:39.733752,58,2
ewa_pd80_pf5,51,-101.36691915582986,3.75,1.7684739183827394,2025-07-30T11:17:40.169264,14,7
ewa_pd80_pf5,52,-114.04078729091265,3.93,1.8987100884547907,2025-07-30T11:17:40.604101,52,9
ewa_pd80_pf5,53,-106.41133417918789,4.26,2.047535103484187,2025-07-30T11:17:41.047284,60,6
ewa_pd80_pf5,54,-105.92685752077267,3.78,1.6160445538412611,2025-07-30T11:17:41.494267,18,10
ewa_pd80_pf5,55,-107.27227837832638,4.32,1.6785708206685828,2025-07-30T11:17:41.947087,68,8
ewa_pd80_pf5,56,-113.42625661297933,4.08,2.018316129846858,2025-07-30T11:17:42.397604,33,5
ewa_pd80_pf5,57,-106.76757292871694,3.91,1.9292226413765725,2025-07-30T11:17:42.835412,23,4
ewa_pd80_pf5,58,-110.77436374444126,3.99,1.797192254601605,2025-07-30T11:17:43.275377,17,4
ewa_pd80_pf5,59,-114.46257453091198,4.18,1.878190618654028,2025-07-30T11:17:43.735753,38,6
ewa_pd80_pf5,60,-101.77575074188293,4.21,1.8777380008936282,2025-07-30T11:17:44.181483,29,9
ewa_pd80_pf5,61,-107.51261117865486,3.74,1.718254928699464,2025-07-30T11:17:44.632333,65,3
ewa_pd80_pf5,62,-112.3396066941013,4.09,1.7893853693377508,2025-07-30T11:17:45.076985,61,5
ewa_pd80_pf5,63,-106.27965611190912,4.11,1.9125637244285483,2025-07-30T11:17:45.530876,14,2
ewa_pd80_pf5,64,-111.08381041600255,3.66,1.7333205127730993,2025-07-30T11:17:45.989767,41,3
ewa_pd80_pf5,65,-104.43262206174796,4.18,1.8728587773775152,2025-07-30T11:17:46.509915,59,3
ewa_pd80_pf5,66,-112.55076116754849,3.97,1.8300546439929053,2025-07-30T11:17:46.950469,64,9
ewa_pd80_pf5,67,-105.81212976468048,4.1,1.8083141320025127,2025-07-30T11:17:47.414229,48,8
ewa_pd80_pf5,68,-98.75784362030878,4.16,1.9632625906892842,2025-07-30T11:17:47.904917,12,8
ewa_pd80_pf5,69,-113.05344411962483,4.05,1.8887826767524103,2025-07-30T11:17:48.369674,66,6
ewa_pd80_pf5,70,-109.39035907925617,4.27,1.815791838289841,2025-07-30T11:17:48.864351,43,1
ewa_pd80_pf5,71,-109.77342793945787,4.26,1.9371112513224429,2025-07-30T11:17:49.321130,34,6
ewa_pd80_pf5,72,-103.061226365439,3.92,1.8367362358270172,2025-07-30T11:17:49.831764,35,4
ewa_pd80_pf5,73,-98.84058332216468,3.91,2.0104477113319805,2025-07-30T11:17:50.319587,13,6
ewa_pd80_pf5,74,-112.77262225917393,4.13,1.868983681041651,2025-07-30T11:17:50.784344,68,9
ewa_pd80_pf5,75,-105.87431380587142,4.33,2.0398774472992245,2025-07-30T11:17:51.268051,36,8
ewa_pd80_pf5,76,-108.95877916380682,4.21,1.8509186908127544,2025-07-30T11:17:51.732808,29,4
ewa_pd80_pf5,77,-115.96626697940546,3.8,1.816590212458495,2025-07-30T11:17:52.190584,39,10
ewa_pd80_pf5,78,-90.61155881238646,4.13,1.8036352181081405,2025-07-30T11:17:52.629642,22,10
ewa_pd80_pf5,79,-99.40512838370086,4.15,1.9817921182606415,2025-07-30T11:17:53.121329,12,6
ewa_pd80_pf5,80,-108.90783855077419,3.99,1.6702993743637697,2025-07-30T11:17:53.572123,57,2
ewa_pd80_pf5,81,-109.24570943138231,4.02,1.7887425751068822,2025-07-30T11:17:54.036063,19,2
ewa_pd80_pf5,82,-109.72110907455497,4.11,1.6905324604987624,2025-07-30T11:17:54.513313,72,4
ewa_pd80_pf5,83,-111.50806762600129,3.81,1.7186913626361189,2025-07-30T11:17:54.990343,29,4
ewa_pd80_pf5,84,-108.96463387348531,3.83,1.8168929522676893,2025-07-30T11:17:55.466857,44,6
ewa_pd80_pf5,85,-112.88790358655226,4.01,1.7291327305906854,2025-07-30T11:17:55.943195,31,1
ewa_pd80_pf5,86,-113.55187632939052,3.97,1.8732591918898998,2025-07-30T11:17:56.415046,72,7
ewa_pd80_pf5,87,-104.50140112480959,3.79,1.930259049972309,2025-07-30T11:17:56.895053,54,6
ewa_pd80_pf5,88,-107.46624633461238,4.06,1.7878478682483026,2025-07-30T11:17:57.367385,41,2
ewa_pd80_pf5,89,-102.77173615235105,3.75,1.699264546796643,2025-07-30T11:17:57.853336,25,2
ewa_pd80_pf5,90,-109.95904216936479,3.98,1.6551737068960464,2025-07-30T11:17:58.338733,42,6
ewa_pd80_pf5,91,-113.43194169520835,3.96,1.6728418933061189,2025-07-30T11:17:58.826360,50,8
ewa_pd80_pf5,92,-107.19343885475286,4.13,1.8036352181081408,2025-07-30T11:17:59.309533,21,10
ewa_pd80_pf5,93,-101.20198437095901,3.87,1.8311471814138807,2025-07-30T11:17:59.797141,46,6
ewa_pd80_pf5,94,-86.14203474820945,4.4,1.8920887928424501,2025-07-30T11:18:00.262456,24,9
ewa_pd80_pf5,95,-100.87421253592666,3.96,1.912694434560837,2025-07-30T11:18:00.726796,49,2
ewa_pd80_pf5,96,-104.28724297431896,3.86,1.9900753754569198,2025-07-30T11:18:01.211502,75,2
ewa_pd80_pf5,97,-112.6857328549487,4.25,1.904599695474091,2025-07-30T11:18:01.702496,53,7
ewa_pd80_pf5,98,-106.13684173140155,3.93,1.8124844826921966,2025-07-30T11:18:02.196423,23,6
ewa_pd80_pf5,99,-111.18697172681227,4.14,1.600124995117569,2025-07-30T11:18:02.688756,65,4
ewa_pd80_pf5,100,-105.77136803585371,4.28,1.8605375567292373,2025-07-30T11:18:03.186585,60,7
ewa_pd80_pf5,101,-108.46479275604966,4.1,1.824828759089466,2025-07-30T11:18:06.750404,12,1
ewa_pd80_pf5,102,-99.01386409515469,4.35,1.829617446353199,2025-07-30T11:18:07.268999,34,7
ewa_pd80_pf5,103,-108.17662472667513,4.07,1.7507426995421114,2025-07-30T11:18:07.777639,57,9
ewa_pd80_pf5,104,-109.08736494945279,4.1,2.0074859899884734,2025-07-30T11:18:08.276305,14,7
ewa_pd80_pf5,105,-112.19555958069141,3.97,2.041837407826588,2025-07-30T11:18:08.783948,15,8
ewa_pd80_pf5,106,-94.36855328778817,4.03,1.8625520126965582,2025-07-30T11:18:09.255686,31,3
ewa_pd80_pf5,107,-98.57495329279817,4.44,1.9407215153133126,2025-07-30T11:18:09.803223,69,4
ewa_pd80_pf5,108,-109.9849635679139,3.91,1.8280864312170804,2025-07-30T11:18:10.297899,28,7
ewa_pd80_pf5,109,-112.4630322656481,4.16,1.820549367636044,2025-07-30T11:18:10.785614,40,5
ewa_pd80_pf5,110,-110.31510572524277,4.29,1.8127051608024953,2025-07-30T11:18:11.291165,32,6
ewa_pd80_pf5,111,-98.14173858525257,4.44,2.001599360511489,2025-07-30T11:18:11.797568,69,3
ewa_pd80_pf5,112,-105.48453551065025,3.84,1.6596385148579793,2025-07-30T11:18:12.306904,54,9
ewa_pd80_pf5,113,-107.5663046607717,4.2,1.8439088914585775,2025-07-30T11:18:12.812830,27,7
ewa_pd80_pf5,114,-110.13151504021586,4.16,1.8586016248782307,2025-07-30T11:18:13.318635,41,4
