agent,final_cost,final_bw,final_re,final_bri,Cost_ci_lower,Cost_ci_upper,BW_ci_lower,BW_ci_upper,RE_ci_lower,RE_ci_upper,BRI_ci_lower,BRI_ci_upper,pre_cost,pre_bw,during_cost,during_bw,post_cost,post_bw
Strm,480.61,3.2214741059302967,0.9813799679034498,3.163742320236265,447.95508336771496,513.264916632285,3.0014064678916097,3.4415417439689837,0.9748962479691039,0.9878636878377958,2.9438594973684973,3.383625143104033,210.5,2.5839217143564968,12.0,0.08163265306122448,206.5,2.770272029155277
srdqn,265.39,1.4903907255571704,1.004144623469102,1.497309829990893,255.31659405364394,275.46340594635603,1.4254666256506594,1.5553148254636815,0.9990169226196187,1.0092723243185855,1.430389095635798,1.5642305643459877,41.5,2.52914798206278,57.0,1.4651162790697674,223.5,2.1212484993997593
ewa_pd90_pf1,234.66,1.3281497126500605,1.007519148215294,1.333072932395099,224.71934944429108,244.6006505557089,1.2446440568979262,1.4116553684021949,0.9991046389067273,1.015933657523861,1.2566856653447198,1.409460199445478,175.0,0.9981012057343583,1.0,nan,38.5,0.7373949579831934
ewa_pd80_pf5,277.73,1.413539431145818,1.0174292414395258,1.4357126782444711,266.82011391325153,288.6398860867485,1.325526186869369,1.501552675422267,1.0104834325419843,1.0243750503370674,1.3484027084280723,1.52302264806087,108.0,1.9650756693830032,33.5,0.4362745098039216,160.0,0.5688361304407148
ewa_pd70_pf10,252.38,1.1277405872860924,1.0251274733472489,1.1541171852256518,240.78107854675434,263.9789214532456,1.0162842306495525,1.2391969439226322,1.016617516775316,1.0336374299191817,1.04181319123205,1.2664211792192535,225.5,1.366992344883159,29.0,0.3949579831932773,32.0,0.8284883720930233
